code id,forest_area,density
1,1856049,87721760
2,1852307,91621194
3,1785190,96001198
4,1783429,108667425
5,1781434,121641553
6,1779942,126488032
7,,131447565
8,,137320808
9,,142939222
10,,148813711
11,,154976015
12,,161729304
13,,192387273
14,,205250457
15,,218139943
16,1740978,263924533
21,2039644,311135404
26,2032501,352690445
29,659776,93888652
30,657140,99151138
31,650422,105829909
32,649227,108726307
33,647553,112310208
34,645184,115243495
35,,118395099
36,,122325972
37,,125542180
38,,128994410
39,,132697565
40,,136630987
41,,168041905
42,,175269616
43,,183622475
44,,195046144
49,1371643,221070864
54,1366644,250792917
