code_id,local,year
1,gyeongsang,1995
2,gyeongsang,1996
3,gyeongsang,1997
4,gyeongsang,1998
5,gyeongsang,1999
6,gyeongsang,2000
7,gyeongsang,2001
8,gyeongsang,2002
9,gyeongsang,2003
10,gyeongsang,2004
11,gyeongsang,2005
12,gyeongsang,2006
13,gyeongsang,2007
14,gyeongsang,2008
15,gyeongsang,2009
16,gyeongsang,2010
17,gyeongsang,2011
18,gyeongsang,2012
19,gyeongsang,2013
20,gyeongsang,2014
21,gyeongsang,2015
22,gyeongsang,2016
23,gyeongsang,2017
24,gyeongsang,2018
25,gyeongsang,2019
26,gyeongsang,2020
27,gyeongsang,2021
28,gyeongsang,2022
29,gangwon,1995
30,gangwon,1996
31,gangwon,1997
32,gangwon,1998
33,gangwon,1999
34,gangwon,2000
35,gangwon,2001
36,gangwon,2002
37,gangwon,2003
38,gangwon,2004
39,gangwon,2005
40,gangwon,2006
41,gangwon,2007
42,gangwon,2008
43,gangwon,2009
44,gangwon,2010
45,gangwon,2011
46,gangwon,2012
47,gangwon,2013
48,gangwon,2014
49,gangwon,2015
50,gangwon,2016
51,gangwon,2017
52,gangwon,2018
53,gangwon,2019
54,gangwon,2020
55,gangwon,2021
56,gangwon,2022
