code_id,fire_count,fire_area,fire_cost
1,201,370.68 ,73079
2,139,571.35 ,54044
3,98,524.36 ,183401
4,33,101.85 ,238045
5,32,35.97 ,42389
6,132,471.85 ,1126320
7,161,210.13 ,691191
8,114,70.37 ,168270
9,62,24.51 ,57079
10,152,502.75 ,2161553
11,,271.85 ,1058996
12,,58.81 ,127895
13,94,75.76 ,100355
14,132,76.81 ,202481
15,211,954.65 ,3134448
16,102,122.86 ,2021801
17,98,800.86 ,21784435
18,37,10.13 ,357178
19,75,129.79 ,9573393
20,124,52.77 ,4545371
21,102,41.63 ,3317521
22,51,170.99 ,7150596
23,162,157.96 ,8440911
24,162,101.40 ,5061484
25,178,95.34 ,6999638
26,139,2025.21 ,111962997
27,91,501.06 ,23959051
29,49,86.98 ,31799
30,32,3320.85 ,8229222
31,59,892.64 ,1109932
32,25,588.52 ,1552873
33,65,92.72 ,117454
34,141,24119.87 ,61595450
35,57,95.22 ,173090
36,35,41.78 ,92005
37,5,5.90 ,9874
38,27,638.39 ,931306
39,,1102.12 ,5216384
40,,4.51 ,630
41,19,6.32 ,6949
42,17,5.08 ,5901
43,44,57.04 ,171261
44,37,91.47 ,1860936
45,33,110.06 ,3055221
46,30,4.48 ,244915
47,34,8.85 ,501237
48,48,10.07 ,478894
49,96,196.03 ,6823805
50,81,48.54 ,1377040
51,81,1192.29 ,63901080
52,33,656.95 ,36003655
53,67,2990.32 ,253970968
54,52,196.64 ,7835367
55,34,57.11 ,3049335
