"시점","월별",금년
"1997","합계",524
"1997","1월",33
"1997","2월",92
"1997","3월",104
"1997","4월",178
"1997","5월",28
"1997","6월",7
"1997","7월",-
"1997","8월",-
"1997","9월",7
"1997","10월",61
"1997","11월",11
"1997","12월",3
"1998","합계",265
"1998","1월",15
"1998","2월",39
"1998","3월",151
"1998","4월",15
"1998","5월",5
"1998","6월",1
"1998","7월",-
"1998","8월",-
"1998","9월",5
"1998","10월",-
"1998","11월",9
"1998","12월",25
"1999","합계",315
"1999","1월",22
"1999","2월",44
"1999","3월",74
"1999","4월",88
"1999","5월",35
"1999","6월",5
"1999","7월",-
"1999","8월",-
"1999","9월",-
"1999","10월",1
"1999","11월",13
"1999","12월",33
"2000","합계",729
"2000","1월",10
"2000","2월",124
"2000","3월",229
"2000","4월",225
"2000","5월",49
"2000","6월",16
"2000","7월",1
"2000","8월",-
"2000","9월",-
"2000","10월",7
"2000","11월",23
"2000","12월",45
"2001","합계",785
"2001","1월",14
"2001","2월",26
"2001","3월",227
"2001","4월",319
"2001","5월",79
"2001","6월",28
"2001","7월",-
"2001","8월",-
"2001","9월",27
"2001","10월",4
"2001","11월",25
"2001","12월",36
"2002","합계",599
"2002","1월",20
"2002","2월",116
"2002","3월",199
"2002","4월",181
"2002","5월",11
"2002","6월",27
"2002","7월",1
"2002","8월",1
"2002","9월",1
"2002","10월",3
"2002","11월",29
"2002","12월",10
"2003","합계",271
"2003","1월",9
"2003","2월",16
"2003","3월",55
"2003","4월",134
"2003","5월",12
"2003","6월",3
"2003","7월",-
"2003","8월",-
"2003","9월",-
"2003","10월",12
"2003","11월",10
"2003","12월",20
"2004","합계",544
"2004","1월",32
"2004","2월",128
"2004","3월",120
"2004","4월",147
"2004","5월",9
"2004","6월",37
"2004","7월",3
"2004","8월",2
"2004","9월",3
"2004","10월",25
"2004","11월",15
"2004","12월",23
"2005","합계",516
"2005","1월",58
"2005","2월",37
"2005","3월",124
"2005","4월",170
"2005","5월",37
"2005","6월",6
"2005","7월",-
"2005","8월",1
"2005","9월",2
"2005","10월",6
"2005","11월",27
"2005","12월",48
"2006","합계",405
"2006","1월",48
"2006","2월",41
"2006","3월",175
"2006","4월",49
"2006","5월",27
"2006","6월",1
"2006","7월",-
"2006","8월",-
"2006","9월",7
"2006","10월",25
"2006","11월",23
"2006","12월",9
"2007","합계",418
"2007","1월",61
"2007","2월",122
"2007","3월",70
"2007","4월",110
"2007","5월",11
"2007","6월",18
"2007","7월",0
"2007","8월",0
"2007","9월",0
"2007","10월",1
"2007","11월",20
"2007","12월",5
"2008","합계",389
"2008","1월",7
"2008","2월",70
"2008","3월",85
"2008","4월",79
"2008","5월",32
"2008","6월",2
"2008","7월",0
"2008","8월",2
"2008","9월",13
"2008","10월",25
"2008","11월",45
"2008","12월",29
"2009","합계",570
"2009","1월",64
"2009","2월",32
"2009","3월",119
"2009","4월",206
"2009","5월",52
"2009","6월",17
"2009","7월",0
"2009","8월",0
"2009","9월",13
"2009","10월",23
"2009","11월",23
"2009","12월",21
"2010","합계",282
"2010","1월",24
"2010","2월",30
"2010","3월",22
"2010","4월",51
"2010","5월",45
"2010","6월",21
"2010","7월",0
"2010","8월",0
"2010","9월",0
"2010","10월",5
"2010","11월",44
"2010","12월",40
