,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'bottled water'}),frozenset({'whole milk'}),0.16184310738766183,0.36062452399086065,0.06359482102056359,0.39294117647058824,1.0896130194422013,0.005230227457686296,1.0532347957514892
18,frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.17593297791317594,0.36062452399086065,0.06816450875856817,0.3874458874458874,1.074374762864731,0.004718762344334493,1.0437861127781711
11,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.2718964204112719,0.36062452399086065,0.1031987814166032,0.37955182072829136,1.052484774268736,0.005146264230969352,1.0305058462088612
14,frozenset({'sausage'}),frozenset({'whole milk'}),0.14356435643564355,0.36062452399086065,0.05407463823305408,0.37665782493368705,1.044459818665113,0.002301810531395873,1.025721508321045
20,frozenset({'yogurt'}),frozenset({'whole milk'}),0.2121096725057121,0.36062452399086065,0.07958872810357959,0.3752244165170556,1.0404850240483505,0.0030967784223498163,1.023368218784743
6,frozenset({'other vegetables'}),frozenset({'whole milk'}),0.2871287128712871,0.36062452399086065,0.10548362528560548,0.36737400530503983,1.0187160907402688,0.0019379698822890729,1.0106689914274447
2,frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.1450875856816451,0.36062452399086065,0.05255140898705255,0.3622047244094488,1.0043818440329593,0.00022926746362608025,1.0024775981871692
5,frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.1744097486671744,0.2871287128712871,0.051028179741051026,0.2925764192139738,1.0189730462279778,0.0009501330940405589,1.0077007700770078
7,frozenset({'whole milk'}),frozenset({'other vegetables'}),0.36062452399086065,0.2871287128712871,0.10548362528560548,0.29250263991552267,1.0187160907402686,0.0019379698822890729,1.0075956849416283
10,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.36062452399086065,0.2718964204112719,0.1031987814166032,0.2861668426610348,1.052484774268736,0.005146264230969352,1.0199912572049195
8,frozenset({'soda'}),frozenset({'rolls/buns'}),0.24333587204874332,0.2718964204112719,0.06740289413556741,0.2769953051643193,1.0187530411225525,0.001240741567858833,1.007052353587007
12,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.2121096725057121,0.2718964204112719,0.057882711348057884,0.27289048473967686,1.0036560405131534,0.00021085065914758921,1.0013671452615347
9,frozenset({'rolls/buns'}),frozenset({'soda'}),0.2718964204112719,0.24333587204874332,0.06740289413556741,0.24789915966386558,1.0187530411225525,0.001240741567858833,1.0060673880022295
17,frozenset({'yogurt'}),frozenset({'soda'}),0.2121096725057121,0.24333587204874332,0.05255140898705255,0.24775583482944344,1.018164041098777,0.000937516857901742,1.005875702312291
21,frozenset({'whole milk'}),frozenset({'yogurt'}),0.36062452399086065,0.2121096725057121,0.07958872810357959,0.22069693769799364,1.0404850240483507,0.0030967784223498163,1.0110191600773586
16,frozenset({'soda'}),frozenset({'yogurt'}),0.24333587204874332,0.2121096725057121,0.05255140898705255,0.215962441314554,1.0181640410987771,0.000937516857901742,1.0049140105166665
13,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.2718964204112719,0.2121096725057121,0.057882711348057884,0.21288515406162467,1.0036560405131534,0.00021085065914758921,1.000985220339718
19,frozenset({'whole milk'}),frozenset({'tropical fruit'}),0.36062452399086065,0.17593297791317594,0.06816450875856817,0.1890179514255544,1.074374762864731,0.004718762344334493,1.0161347264534144
4,frozenset({'other vegetables'}),frozenset({'root vegetables'}),0.2871287128712871,0.1744097486671744,0.051028179741051026,0.17771883289124668,1.0189730462279778,0.0009501330940405589,1.0040242733950815
1,frozenset({'whole milk'}),frozenset({'bottled water'}),0.36062452399086065,0.16184310738766183,0.06359482102056359,0.17634635691657863,1.0896130194422011,0.005230227457686296,1.0176084324408772
15,frozenset({'whole milk'}),frozenset({'sausage'}),0.36062452399086065,0.14356435643564355,0.05407463823305408,0.14994720168954592,1.044459818665113,0.002301810531395873,1.00750876329869
3,frozenset({'whole milk'}),frozenset({'citrus fruit'}),0.36062452399086065,0.1450875856816451,0.05255140898705255,0.1457233368532207,1.0043818440329595,0.00022926746362608025,1.0007441982193845
