,year,총지수,생활물가지수,신선식품지수,농산물및석유류제외지수,식료품및에너지제외지수
1,2018.01,0.8,0.7,-5.2,0.9,1.0
2,2018.02,1.3,1.3,2.6,1.1,1.2
3,2018.03,1.2,1.1,-1.2,1.3,1.3
4,2018.04,1.5,1.5,3.1,1.4,1.4
5,2018.05,1.5,1.5,1.9,1.3,1.4
6,2018.06,1.5,1.5,-0.2,1.2,1.3
7,2018.07,1.1,1.1,-1.3,0.8,1.0
8,2018.08,1.4,1.5,4.8,0.9,1.0
9,2018.09,2.1,2.5,11.0,1.3,1.1
10,2018.10,2.0,2.6,11.2,1.2,1.0
11,2018.11,2.0,2.3,10.5,1.4,1.2
12,2018.12,1.3,1.3,6.6,1.3,1.1
13,2019.01,0.8,0.4,1.2,1.2,1.0
14,2019.02,0.5,0.0,-5.2,1.3,1.1
15,2019.03,0.4,0.0,-3.0,0.9,0.7
16,2019.04,0.6,0.4,-2.7,0.9,0.7
17,2019.05,0.7,0.8,-2.1,0.8,0.6
18,2019.06,0.7,0.8,0.0,0.9,0.7
19,2019.07,0.6,0.4,-1.6,1.0,0.9
20,2019.08,0.0,-0.4,-13.9,0.9,0.8
21,2019.09,-0.4,-0.9,-15.3,0.6,0.5
22,2019.10,0.0,-0.3,-7.8,0.8,0.6
23,2019.11,0.2,0.2,-5.3,0.6,0.5
24,2019.12,0.7,1.1,-2.2,0.7,0.6
25,2020.01,1.2,1.7,2.6,0.7,0.6
26,2020.02,0.9,1.2,-0.4,0.5,0.4
27,2020.03,0.8,1.4,4.3,0.5,0.2
28,2020.04,0.0,0.2,1.6,0.3,0.1
29,2020.05,-0.2,-0.5,3.8,0.6,0.2
30,2020.06,0.2,0.1,6.5,0.8,0.4
31,2020.07,0.4,0.3,12.5,0.7,0.3
32,2020.08,0.8,0.7,18.9,0.8,0.4
33,2020.09,0.9,1.0,20.2,0.9,0.6
34,2020.10,0.1,-0.7,18.3,0.2,-0.3
35,2020.11,0.6,0.0,12.0,1.1,0.6
36,2020.12,0.6,0.0,8.3,1.1,0.6
37,2021.01,0.9,0.8,9.2,1.2,0.7
38,2021.02,1.4,1.7,17.8,1.2,0.6
39,2021.03,1.9,2.1,15.2,1.4,1.1
40,2021.04,2.5,3.1,14.1,1.6,1.2
41,2021.05,2.6,3.4,11.1,1.5,1.2
42,2021.06,2.3,3.0,8.0,1.5,1.1
43,2021.07,2.6,3.5,4.6,1.8,1.3
44,2021.08,2.6,3.3,-0.9,1.9,1.3
45,2021.09,2.4,3.1,-4.6,2.0,1.4
46,2021.10,3.2,4.6,-7.8,2.8,2.3
47,2021.11,3.8,5.2,5.6,2.4,1.9
48,2021.12,3.7,4.6,6.7,2.7,2.2
49,2022.01,3.6,4.1,6.0,3.0,2.6
50,2022.02,3.7,4.1,-0.9,3.2,2.9
51,2022.03,4.1,5.0,-2.2,3.3,2.9
52,2022.04,4.8,5.7,1.0,3.6,3.1
53,2022.05,5.4,6.7,2.5,4.1,3.4
54,2022.06,6.0,7.4,5.4,4.4,3.9
55,2022.07,6.3,7.9,13.0,4.5,3.9
56,2022.08,5.7,6.8,14.9,4.4,4.0
57,2022.09,5.6,6.5,12.8,4.5,4.1
58,2022.10,5.7,6.5,11.4,4.8,4.2
59,2022.11,5.0,5.5,0.8,4.8,4.3
60,2022.12,5.0,5.7,1.1,4.8,4.1
61,2023.01,5.2,6.1,2.4,5.0,4.1
