변환,원자료,원자료,원자료,원자료,원자료,원자료
"2018/01","1.50","197,826.70","662,924.00","100.50","0.30","98.11"
"2018/02","1.50","198,545.00","665,133.20","100.00","0.30","98.86"
"2018/03","1.50","200,035.90","668,858.60","99.60","0.30","98.75"
"2018/04","1.50","202,683.90","673,131.60","99.10","0.30","98.93"
"2018/05","1.50","205,065.90","677,460.00","98.60","0.30","98.98"
"2018/06","1.50","206,839.80","681,706.30","98.10","0.30","98.78"
"2018/07","1.50","208,499.60","685,639.90","97.60","0.30","98.59"
"2018/08","1.50","211,002.30","691,369.40","97.10","0.30","99.46"
"2018/09","1.50","212,419.40","695,920.80","96.60","0.30","100.22"
"2018/10","1.50","216,574.00","702,490.30","96.20","0.30","100.04"
"2018/11","1.75","218,452.20","708,809.70","95.80","0.30","99.33"
"2018/12","1.75","218,819.40","713,084.90","95.40","0.30","98.99"
"2019/01","1.75","217,410.30","713,743.00","95.20","0.30","98.88"
"2019/02","1.75","217,444.40","716,032.70","95.00","0.30","99.31"
"2019/03","1.75","217,452.50","718,745.20","94.90","0.30","99.12"
"2019/04","1.75","218,299.60","722,700.10","94.80","0.30","99.48"
"2019/05","1.75","220,345.20","727,411.60","94.70","0.30","99.65"
"2019/06","1.75","221,776.10","732,050.70","94.50","0.30","99.49"
"2019/07","1.50","223,824.30","738,213.30","94.30","0.30","99.19"
"2019/08","1.50","226,568.70","745,805.30","93.90","0.30","99.43"
"2019/09","1.50","227,415.50","750,704.10","93.30","0.30","99.79"
"2019/10","1.25","230,042.30","758,262.30","92.30","0.30","100.04"
"2019/11","1.25","232,134.10","764,609.80","90.60","0.30","99.48"
"2019/12","1.25","233,752.30","767,718.80","88.30","0.30","99.72"
"2020/01","1.25","233,159.80","768,736.40","85.10","0.30","100.09"
"2020/02","1.25","234,639.80","772,063.20","81.40","0.30","100.16"
"2020/03","0.75","237,954.00","780,604.90","77.80","0.30","99.94"
"2020/04","0.75","237,899.50","785,729.90","75.00","0.30","99.50"
"2020/05","0.50","239,017.10","789,444.80","73.60","0.30","99.44"
"2020/06","0.50","242,083.10","794,967.30","73.80","0.30","99.71"
"2020/07","0.50","245,733.50","800,828.50","75.30","0.30","99.63"
"2020/08","0.50","251,396.50","811,881.20","77.60","0.30","100.19"
"2020/09","0.50","254,425.30","820,959.00","80.50","0.20","100.74"
"2020/10","0.50","258,211.20","830,864.10","83.80","0.30","100.18"
"2020/11","0.50","265,573.50","843,887.80","87.10","0.30","100.09"
"2020/12","0.50","265,972.70","849,869.40","90.30","0.20","100.33"
"2021/01","0.50","268,560.10","856,522.30","93.50","0.20","101.04"
"2021/02","0.50","268,818.40","863,052.50","96.40","0.20","101.58"
"2021/03","0.50","269,596.80","868,519.90","99.10","0.20","101.84"
"2021/04","0.50","281,418.60","881,386.10","101.40","0.20","101.98"
"2021/05","0.50","275,941.30","877,599.40","103.30","0.20","102.05"
"2021/06","0.50","277,195.60","880,906.20","104.70","0.20","102.05"
"2021/07","0.50","280,770.60","889,869.00","105.60","0.20","102.26"
"2021/08","0.75","281,055.10","895,458.40","106.10","0.20","102.75"
"2021/09","0.75","281,804.10","901,963.80","106.50","0.20","103.17"
"2021/10","0.75","282,258.00","907,394.60","106.60","0.20","103.35"
"2021/11","1.00","282,762.70","910,489.90","106.60","0.20","103.87"
"2021/12","1.00","280,543.00","910,104.90","106.40","0.20","104.04"
"2022/01","1.25","278,357.60","909,297.20","106.10","0.20","104.69"
"2022/02","1.25","276,484.80","908,074.00","105.50","0.20","105.30"
"2022/03","1.25","273,430.00","905,600.20","104.70","0.20","106.06"
"2022/04","1.50","272,606.40","906,130.30","103.80","0.20","106.85"
"2022/05","1.75","272,174.90","905,727.10","102.70","0.20","107.56"
"2022/06","1.75","271,036.80","905,484.40","101.50","0.20","108.22"
"2022/07","2.25","268,801.00","904,032.00","100.10","0.20","108.74"
"2022/08","2.50","267,479.30","903,809.10","98.70","0.20","108.62"
"2022/09","2.50","265,340.40","902,946.10","97.20","0.20","108.93"
"2022/10","3.00","263,380.80","902,667.00","95.70","0.20","109.21"
"2022/11","3.25","261,300.80","902,097.80","94.20","0.30","109.10"
"2022/12","3.25","","","92.80","","109.28"
"2023/01","","","","91.30","","110.11"
