변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료
"2018/01","1.50","465,097.3","197,826.7","662,924.0","0.3","2.4","100.5"
"2018/02","1.50","466,588.2","198,545.0","665,133.2","0.3","2.5","100.0"
"2018/03","1.50","468,822.8","200,035.9","668,858.6","0.3","2.2","99.6"
"2018/04","1.50","470,447.7","202,683.9","673,131.6","0.3","2.3","99.1"
"2018/05","1.50","472,394.1","205,065.9","677,460.0","0.3","2.4","98.6"
"2018/06","1.50","474,866.4","206,839.8","681,706.3","0.3","2.2","98.1"
"2018/07","1.50","477,140.3","208,499.6","685,639.9","0.3","2.3","97.6"
"2018/08","1.50","480,367.1","211,002.3","691,369.4","0.3","2.5","97.1"
"2018/09","1.50","483,501.3","212,419.4","695,920.8","0.3","2.3","96.6"
"2018/10","1.50","485,916.3","216,574.0","702,490.3","0.3","2.4","96.2"
"2018/11","1.75","490,357.5","218,452.2","708,809.7","0.3","2.5","95.8"
"2018/12","1.75","494,265.4","218,819.4","713,084.9","0.3","2.1","95.4"
"2019/01","1.75","496,332.7","217,410.3","713,743.0","0.3","2.3","95.2"
"2019/02","1.75","498,588.3","217,444.4","716,032.7","0.3","2.6","95.0"
"2019/03","1.75","501,292.6","217,452.5","718,745.2","0.3","2.4","94.9"
"2019/04","1.75","504,400.6","218,299.6","722,700.1","0.3","2.4","94.8"
"2019/05","1.75","507,066.4","220,345.2","727,411.6","0.4","2.5","94.7"
"2019/06","1.75","510,274.6","221,776.1","732,050.7","0.3","2.2","94.5"
"2019/07","1.50","514,389.0","223,824.3","738,213.3","0.3","2.3","94.3"
"2019/08","1.50","519,236.6","226,568.7","745,805.3","0.4","2.6","93.9"
"2019/09","1.50","523,288.6","227,415.5","750,704.1","0.3","2.4","93.3"
"2019/10","1.25","528,219.9","230,042.3","758,262.3","0.3","2.5","92.3"
"2019/11","1.25","532,475.7","232,134.1","764,609.8","0.3","2.6","90.6"
"2019/12","1.25","533,966.4","233,752.3","767,718.8","0.3","2.1","88.3"
"2020/01","1.25","535,576.6","233,159.8","768,736.4","0.3","2.2","85.1"
"2020/02","1.25","537,423.4","234,639.8","772,063.2","0.3","2.5","81.4"
"2020/03","0.75","542,650.8","237,954.0","780,604.9","0.3","2.3","77.8"
"2020/04","0.75","547,830.4","237,899.5","785,729.9","0.3","2.5","75.0"
"2020/05","0.50","550,427.7","239,017.1","789,444.8","0.3","2.6","73.6"
"2020/06","0.50","552,884.1","242,083.1","794,967.3","0.3","2.2","73.8"
"2020/07","0.50","555,095.0","245,733.5","800,828.5","0.3","2.4","75.3"
"2020/08","0.50","560,484.7","251,396.5","811,881.2","0.3","2.5","77.6"
"2020/09","0.50","566,533.7","254,425.3","820,959.0","0.3","2.2","80.5"
"2020/10","0.50","572,652.9","258,211.2","830,864.1","0.3","2.3","83.8"
"2020/11","0.50","578,314.4","265,573.5","843,887.8","0.3","2.4","87.1"
"2020/12","0.50","583,896.8","265,972.7","849,869.4","0.2","2.1","90.3"
"2021/01","0.50","587,962.3","268,560.1","856,522.3","0.2","2.3","93.5"
"2021/02","0.50","594,234.2","268,818.4","863,052.5","0.2","2.3","96.4"
"2021/03","0.50","598,923.1","269,596.8","868,519.9","0.2","2.0","99.1"
"2021/04","0.50","599,967.5","281,418.6","881,386.1","0.2","2.1","101.4"
"2021/05","0.50","601,658.1","275,941.3","877,599.4","0.2","2.1","103.3"
"2021/06","0.50","603,710.7","277,195.6","880,906.2","0.2","1.9","104.7"
"2021/07","0.50","609,098.4","280,770.6","889,869.0","0.2","2.0","105.6"
"2021/08","0.75","614,403.3","281,055.1","895,458.4","0.2","2.1","106.1"
"2021/09","0.75","620,159.7","281,804.1","901,963.8","0.2","1.9","106.5"
"2021/10","0.75","625,136.6","282,258.0","907,394.6","0.2","2.0","106.6"
"2021/11","1.00","627,727.2","282,762.7","910,489.9","0.2","2.0","106.6"
"2021/12","1.00","629,561.9","280,543.0","910,104.9","0.2","1.8","106.4"
"2022/01","1.25","630,939.6","278,357.6","909,297.2","0.2","1.9","106.1"
"2022/02","1.25","631,589.1","276,484.8","908,074.0","0.2","2.1","105.5"
"2022/03","1.25","632,170.2","273,430.0","905,600.2","0.2","1.9","104.7"
"2022/04","1.50","633,523.9","272,606.4","906,130.3","0.2","2.0","103.8"
"2022/05","1.75","633,552.2","272,174.9","905,727.1","0.2","2.0","102.7"
"2022/06","1.75","634,447.6","271,036.8","905,484.4","0.2","1.9","101.5"
"2022/07","2.25","635,231.0","268,801.0","904,032.0","0.2","1.9","100.1"
"2022/08","2.50","636,329.7","267,479.3","903,809.1","0.2","2.0","98.7"
"2022/09","2.50","637,605.7","265,340.4","902,946.1","0.2","1.8","97.2"
"2022/10","3.00","639,286.1","263,380.8","902,667.0","0.3","2.0","95.7"
"2022/11","3.25","640,797.0","261,300.8","902,097.8","0.3","2.1","94.2"
"2022/12","3.25","","","","","","92.8"
"2023/01","","","","","","","91.3"
