죄종별(1),죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
죄종별(1),죄종별(2),남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자
죄종별(1),죄종별(2),정상,정신이상,정신박약,기타정신장애,주취,미상,정상,정신이상,정신박약,기타정신장애,주취,월경시이상,미상
강력범죄,살인기수,117,8,0,6,65,69,39,2,0,4,10,0,25
강력범죄,살인미수등,160,17,0,10,207,62,27,3,1,4,13,0,21
강력범죄,강도,941,10,1,9,107,104,134,1,0,4,4,0,21
강력범죄,강간,2338,4,10,7,1576,2107,40,0,0,0,6,0,50
강력범죄,유사강간,401,3,3,4,267,192,12,0,0,0,1,0,12
강력범죄,강제추행,7339,65,138,132,6277,3283,215,2,4,6,168,0,263
강력범죄,기타 강간·강제추행등,271,0,0,6,143,62,7,0,0,0,3,0,3
강력범죄,방화,440,52,10,44,421,138,81,10,0,20,63,0,38
절도범죄,소계,59199,234,303,632,7132,7479,21464,211,109,480,1094,83,2875
폭력범죄,소계,99475,738,198,905,86518,96799,25944,357,84,414,12209,3,22917
지능범죄,소계,118075,61,80,198,7734,109804,36568,48,30,76,475,1,35632
풍속범죄,소계,24465,54,83,110,2378,2688,3287,6,1,4,120,0,583
풍속범죄,성풍속범죄,8711,53,83,103,1436,1523,353,6,0,4,53,0,148
풍속범죄,도박범죄,15754,1,0,7,942,1165,2934,0,1,0,67,0,435
특별경제범죄,소계,31834,70,16,79,10820,15662,13845,69,8,53,1018,0,5701
마약범죄,소계,6398,59,5,79,129,744,2210,9,3,14,31,1,193
보건범죄,소계,6424,3,1,5,426,1370,8164,3,0,6,104,0,1518
환경범죄,소계,3810,1,0,0,5,628,505,0,0,0,5,0,134
교통범죄,소계,97874,37,21,125,108120,108247,20492,7,2,14,13472,4,35302
노동범죄,소계,568,0,0,0,1,128,126,0,0,0,0,0,42
안보범죄,소계,386,1,0,0,2,57,71,0,0,0,0,0,28
선거범죄,소계,723,0,0,0,2,293,117,0,0,0,1,0,44
병역범죄,소계,11084,4,0,15,2,543,144,0,0,0,0,0,17
기타범죄,소계,112363,275,84,308,19780,52470,44122,162,29,180,2429,2,23796
