"죄종별(1)",죄종별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"계",소계,1247680,111711,43156,2437,2110,280,332,63396,12457,379,23208,13438,5528,238243,4327,152899,314789,370701
"강력범죄",소계,22992,869,152,69,7,1,10,630,89,14,175,789,596,7757,130,519,6902,5152
"강력범죄",살인기수,307,10,,,,,3,7,,4,26,,,87,15,1,81,83
"강력범죄",살인미수등,409,10,1,,,,2,7,,6,34,,,159,24,1,117,58
"강력범죄",강도,748,347,130,67,5,,,145,21,,3,5,2,118,3,2,153,94
"강력범죄",강간,5593,171,7,2,2,,,160,22,1,33,169,249,1390,12,55,1627,1864
"강력범죄",유사강간,834,20,,,,,1,19,3,,3,46,30,277,,7,249,199
"강력범죄",강제추행,13882,275,9,,,1,3,262,41,1,21,519,304,5238,15,414,4331,2723
"강력범죄",기타 강간·강제추행등,271,21,2,,,,,19,1,,2,11,11,82,2,1,100,40
"강력범죄",방화,948,15,3,,,,1,11,1,2,53,39,,406,59,38,244,91
"절도범죄",소계,85687,22226,6466,792,141,80,31,14716,1607,6,40,2756,1113,28832,144,2961,17690,8312
"폭력범죄",소계,264229,2137,338,153,23,6,15,1602,216,271,19454,716,82,118254,1742,2789,43767,74801
"폭력범죄",상해,35588,114,11,1,1,,4,97,14,47,2034,11,1,22954,261,353,6752,3047
"폭력범죄",폭행,145634,243,21,10,,,2,210,38,82,12940,59,14,57508,608,883,19690,53569
"폭력범죄",체포·감금,1521,36,2,,,,,34,1,1,71,2,1,454,17,15,351,572
"폭력범죄",협박,22023,116,16,4,4,,3,89,14,113,2140,19,4,9055,249,335,3796,6182
"폭력범죄",약취·유인,318,14,4,,,,,10,,,8,7,16,51,,3,131,88
"폭력범죄",폭력행위등,20526,618,84,73,10,2,2,447,60,12,125,414,29,10203,127,259,4886,3793
"폭력범죄",공갈,2775,684,184,64,7,4,2,423,59,,14,25,7,441,19,36,679,811
"폭력범죄",손괴,35844,312,16,1,1,,2,292,30,16,2122,179,10,17588,461,905,7482,6739
"지능범죄",소계,210381,51130,22838,1166,1748,115,173,25090,3668,1,21,845,708,10020,82,5116,51490,87300
"지능범죄",직무유기,810,,,,,,,,,,,,,8,,11,87,704
"지능범죄",직권남용,857,12,,,,,,12,,,,,,7,,8,119,711
"지능범죄",증수뢰,651,143,17,,1,,,125,7,,,,3,9,,7,211,271
"지능범죄",통화,58,12,3,,,,,9,,,,,,,,,11,35
"지능범죄",문서·인장,11441,1007,279,3,11,5,6,703,91,,2,218,28,328,6,620,3186,5955
"지능범죄",유가증권인지,68,6,2,,,,,4,2,,,,,,,,19,41
"지능범죄",사기,162836,44998,21305,1096,1671,102,146,20678,3128,1,16,268,504,4621,57,3484,40617,65142
"지능범죄",횡령,27970,4473,1154,62,64,7,18,3168,411,,3,358,163,5025,18,891,6148,10480
"지능범죄",배임,5690,479,78,5,1,1,3,391,29,,,1,10,22,1,95,1092,3961
"풍속범죄",소계,29030,3336,514,121,100,8,3,2590,4377,6,22,3090,523,5559,64,605,8000,3448
"풍속범죄",성풍속범죄,14549,487,95,9,2,3,3,375,88,6,21,2721,454,4187,59,368,4104,2054
"풍속범죄",도박범죄,14481,2849,419,112,98,5,,2215,4289,,1,369,69,1372,5,237,3896,1394
"특별경제범죄",소계,46846,6902,2701,34,19,24,7,4117,345,14,27,79,97,8469,389,2467,13504,14553
"마약범죄",소계,10173,684,191,11,2,2,,478,83,1,13,1210,965,995,137,615,4420,1050
"보건범죄",소계,38943,6229,3092,7,,,11,3119,339,,4,138,416,2033,24,7541,17778,4441
"환경범죄",소계,3853,314,133,,,,1,180,23,,,4,,56,,1085,1859,512
"교통범죄",소계,311232,592,231,2,,11,3,345,251,2,74,1691,408,24994,127,102147,73290,107656
"노동범죄",소계,670,134,59,1,,,,74,6,,,2,2,9,,83,333,101
"안보범죄",소계,739,284,95,5,,,,184,13,,,,2,7,8,1,205,219
"선거범죄",소계,312,14,,,,,,14,,,,1,,25,8,30,102,132
"병역범죄",소계,1395,33,17,,,,,16,,,3,,1,50,20,337,853,98
"기타범죄",소계,221198,16827,6329,76,70,33,78,10241,1440,64,3375,2117,615,31183,1452,26603,74596,62926
